grid,velocity,T,D,X_H2,X_H,X_O,X_O2,X_OH,X_H2O,X_HO2,X_H2O2,X_AR,X_N2
0,0.797233272,300,1.33861236,0.154929577,-1.74787821e-17,-7.23645207e-17,0.14084507,4.16768263e-17,5.02597533e-18,1.19940172e-17,-6.46363483e-17,0.704225352,-7.07443356e-19
0.012,0.797233263,300,1.33861238,0.154929567,-1.43610114e-20,-3.66060931e-17,0.140845072,-2.07879304e-19,2.21746923e-15,8.56945789e-17,-5.55732195e-17,0.704225361,4.98035098e-18
0.024,0.797233027,300,1.33861277,0.154929301,1.6406241e-20,1.06128543e-15,0.140845116,1.19845974e-18,1.68339646e-13,1.09362515e-15,2.38442266e-16,0.704225583,-4.43068645e-18
0.03,0.797230829,300.000002,1.33861646,0.154926817,6.96855395e-19,2.57152287e-14,0.140845529,3.60765082e-17,4.97321564e-12,3.01179942e-14,1.02057882e-14,0.704227653,6.73605052e-18
0.033,0.797220053,300.000022,1.33863453,0.154914607,7.62928593e-18,2.9482735e-13,0.140847558,4.05954978e-16,7.56398194e-11,4.67502895e-13,1.76046936e-13,0.704237835,6.69415311e-19
0.036,0.797146309,300.000328,1.33875823,0.154830516,1.09848888e-16,4.21703439e-12,0.140861529,5.84261857e-15,1.48462312e-09,9.93580252e-12,3.9133819e-12,0.704307953,2.57088688e-17
0.0375,0.79694934,300.002081,1.33908882,0.154602975,7.03474696e-16,2.61312014e-11,0.140899312,3.85482182e-14,1.21928835e-08,8.88044648e-11,3.59541673e-11,0.704497701,1.97536135e-16
0.03825,0.79664121,300.007553,1.33960639,0.154238541,3.02856447e-15,9.21855478e-11,0.140959765,1.92559211e-13,5.55524726e-08,4.41214052e-10,1.81275463e-10,0.704801637,7.14101068e-16
0.039,0.79591203,300.032186,1.34083292,0.153339782,2.25748499e-14,3.78418302e-10,0.141108583,1.82832813e-12,3.04124855e-07,2.6669179e-09,1.10862648e-09,0.705551327,5.30768771e-15
0.039375,0.795199702,300.076897,1.34203336,0.152397961,1.25600115e-13,8.79236377e-10,0.141264044,1.18139646e-11,8.694218e-07,8.21263197e-09,3.44292648e-09,0.706337113,-2.72540962e-16
0.03975,0.794095721,300.200253,1.34389813,0.150771796,7.71211265e-13,2.21292205e-09,0.1415312,7.71099364e-11,2.77191902e-06,2.84808617e-08,1.20553369e-08,0.707694188,-6.93601767e-15
0.0399375,0.793375961,300.343491,1.34511668,0.149519336,2.46785996e-12,3.71266024e-09,0.141735557,2.50486562e-10,5.40890719e-06,5.87118789e-08,2.50349848e-08,0.70873961,-6.21980824e-15
0.040125,0.792603281,300.613417,1.34642721,0.147820775,7.68125629e-12,6.46117286e-09,0.142010364,7.88587732e-10,1.11583003e-05,1.28869673e-07,5.54258685e-08,0.710157511,-5.45594082e-15
0.0403125,0.791945756,301.122917,1.34754418,0.145525109,2.39670266e-11,1.15099381e-08,0.142377084,2.46889405e-09,2.36851501e-05,2.9141571e-07,1.26506609e-07,0.71207369,4.09466399e-15
0.0405,0.791799898,302.086372,1.34779129,0.142437938,7.55251356e-11,2.08342018e-08,0.142860796,7.71442771e-09,5.09392512e-05,6.67230779e-07,2.92341686e-07,0.714649339,-1.16547984e-15
0.04059375,0.792239141,302.890506,1.34704338,0.140506702,1.44954101e-10,2.85363727e-08,0.143156234,1.45177072e-08,7.65161229e-05,1.0392151e-06,4.57325835e-07,0.716259009,9.28337477e-15
0.0406875,0.793349251,304.053864,1.34515775,0.138263308,2.80453224e-10,3.96226346e-08,0.143490981,2.73818776e-08,0.000116959813,1.65383971e-06,7.30449229e-07,0.718126299,-3.47044647e-15
0.04078125,0.795511977,305.736837,1.34149983,0.135669777,5.54318687e-10,5.57338289e-08,0.143865216,5.18283618e-08,0.000180754772,2.66872482e-06,1.18056989e-06,0.720280295,-1.03950858e-16
0.040875,0.799287816,308.169991,1.33516151,0.132689766,1.13638164e-09,7.95056806e-08,0.144275977,9.87289512e-08,0.000281023644,4.34409122e-06,1.91725552e-06,0.722746793,2.6069243e-15
0.04096875,0.80548824,311.68233,1.32488249,0.129292303,2.48266064e-09,1.15407409e-07,0.144715373,1.9020494e-07,0.000437809006,7.11092076e-06,3.1101508e-06,0.725543986,-8.67312749e-16
0.0410625,0.815268044,316.737787,1.30898788,0.125457026,6.04695961e-09,1.71519569e-07,0.14516823,3.73428011e-07,0.000681174936,1.16864105e-05,5.01058507e-06,0.728676321,-5.4003014e-15
0.041109375,0.82211562,320.088399,1.29808417,0.123373003,1.07343974e-08,2.13078698e-07,0.14539017,5.3976027e-07,0.000852132908,1.5106714e-05,6.35771494e-06,0.730362465,-9.82847414e-15
0.04115625,0.830696209,324.156351,1.28467485,0.12118243,2.00246494e-08,2.68125256e-07,0.145601518,7.88962979e-07,0.00106822987,1.96406751e-05,8.06741482e-06,0.732119037,-2.36165785e-14
0.041203125,0.841366009,329.082414,1.26838235,0.118891437,3.97225923e-08,3.42308118e-07,0.145795523,1.16819103e-06,0.00134012496,2.56395303e-05,1.02121032e-05,0.733935513,-2.52105187e-14
0.04125,0.854534298,335.028372,1.24883591,0.116508692,8.30855907e-08,4.44244599e-07,0.145964173,1.75540609e-06,0.00168037845,3.35456216e-05,1.28630858e-05,0.735798065,-2.87830684e-15
0.0412734375,0.862236421,338.454866,1.23768007,0.115286917,1.24901474e-07,5.1069271e-07,0.146035424,2.17641286e-06,0.00188180957,3.84170292e-05,1.4401918e-05,0.736740218,-1.80363342e-14
0.041296875,0.870786955,342.224099,1.22552662,0.114047715,1.87604708e-07,5.90348169e-07,0.146095848,2.71134742e-06,0.00210742416,4.40163969e-05,1.60980283e-05,0.737685409,-2.28575136e-14
0.0413203125,0.880258105,346.364539,1.21234034,0.112793142,2.81902623e-07,6.86344311e-07,0.146143951,3.39354207e-06,0.00235960178,5.04227405e-05,1.79553193e-05,0.738630566,-1.67030323e-14
0.04134375,0.890724715,350.905708,1.19809441,0.111525383,4.23339131e-07,8.0264483e-07,0.14617818,4.26633637e-06,0.00264084505,5.77105067e-05,1.99742009e-05,0.739572415,1.09672285e-14
0.0413671875,0.90226357,355.877912,1.1827722,0.11024672,6.34233691e-07,9.44262822e-07,0.146196936,5.38575522e-06,0.00295376306,6.59428028e-05,2.21506828e-05,0.740507522,-4.40557767e-15
0.041390625,0.914952506,361.31189,1.1663691,0.108959495,9.46185492e-07,1.11752798e-06,0.146198596,6.82360326e-06,0.00330104939,7.5162787e-05,2.44754975e-05,0.741432333,-2.36457221e-14
0.0414140625,0.928869284,367.238376,1.14889415,0.107666059,1.40322567e-06,1.33040488e-06,0.146181533,8.67083254e-06,0.00368545453,8.53834669e-05,2.69333535e-05,0.742343232,-1.19789434e-14
0.0414375,0.944090232,373.687553,1.13037155,0.106368721,2.06567062e-06,1.59286247e-06,0.146144144,1.10408882e-05,0.00410975243,9.65766041e-05,2.95024444e-05,0.743236604,-5.79488558e-15
0.0414609375,0.960688644,380.688433,1.11084179,0.105069686,3.01467896e-06,1.91728907e-06,0.146084879,1.40725345e-05,0.00457670128,0.000108661947,3.21543496e-05,0.744108914,-5.98517557e-15
0.041484375,0.97873295,388.268121,1.09036233,0.103770996,4.35744119e-06,2.31893919e-06,0.146002265,1.79314323e-05,0.00508899899,0.000121498522,3.48544455e-05,0.744956779,-1.21836914e-14
0.0414960937,0.988324481,392.285668,1.0797808,0.103122495,5.22922604e-06,2.55582108e-06,0.145951628,2.02444885e-05,0.0053632582,0.00012812317,3.62079046e-05,0.745370259,-4.96583278e-15
0.0415078125,0.998309644,396.460497,1.06898104,0.102474993,6.25614974e-06,2.81988147e-06,0.145894461,2.28444594e-05,0.00565015651,0.000134854061,3.75579726e-05,0.745776057,-4.70680727e-15
0.0415195312,1.00869505,400.795224,1.05797523,0.101828686,7.46200325e-06,3.11411768e-06,0.145830606,2.57594454e-05,0.00595000964,0.000141653005,3.88989546e-05,0.746173811,4.88876278e-15
0.04153125,1.01948657,405.292177,1.04677661,0.101183744,8.87330359e-06,3.44179762e-06,0.145759916,2.90185374e-05,0.00626311916,0.000148478183,4.02250482e-05,0.746563184,-6.43633153e-16
0.0415429687,1.03068929,409.953368,1.03539936,0.100540314,1.05194553e-05,3.80647085e-06,0.145682252,3.26514423e-05,0.00658977087,0.00015528463,4.15304212e-05,0.746943871,1.62116135e-15
0.0415546875,1.0423074,414.780464,1.02385857,0.0998985174,1.24328911e-05,4.21197792e-06,0.145597487,3.66880288e-05,0.00693023309,0.00016202485,4.280929e-05,0.747315595,4.15008887e-15
0.041578125,1.06678925,424.932381,1.00036261,0.0986199793,1.71648764e-05,5.15735163e-06,0.145406465,4.60551091e-05,0.00765298464,0.000175157501,4.52704431e-05,0.748031766,-3.2231535e-15
0.0416015625,1.09291939,435.743407,0.976446035,0.0973477905,2.34197836e-05,6.31512761e-06,0.145186563,5.73403044e-05,0.00843221717,0.000187469529,4.75658206e-05,0.748711319,1.6810371e-15
0.041625,1.12069408,447.212172,0.952246947,0.0960819256,3.1567548e-05,7.72601454e-06,0.144937182,7.07247525e-05,0.00926921726,0.000198603982,4.96594487e-05,0.749353393,2.83155473e-16
0.0416484375,1.15009249,459.330532,0.927906419,0.0948219649,4.20281306e-05,9.43561397e-06,0.144657889,8.63294729e-05,0.0101648997,0.00020824934,5.15216732e-05,0.749957682,-4.55229862e-17
0.041671875,1.18107663,472.083548,0.903564449,0.0935671328,5.5266237e-05,1.14945521e-05,0.14434841,0.000104194489,0.0111197962,0.000216165123,5.31297694e-05,0.75052441,2.17140935e-15
0.0416953125,1.21359206,485.449759,0.879355992,0.0923163552,7.17826837e-05,1.39587635e-05,0.144008629,0.000124263128,0.0121340574,0.000222199437,5.44678912e-05,0.751054287,-2.21420382e-15
0.04171875,1.24756929,499.401726,0.855407375,0.0910683288,9.21027056e-05,1.68900498e-05,0.143638574,0.000146374647,0.0132074688,0.00022629617,5.55265148e-05,0.751548438,2.87643729e-15
0.0417421875,1.28292579,513.906807,0.831833325,0.0898215991,0.000116761939,2.03570198e-05,0.143238415,0.000170267149,0.0143394761,0.000228491522,5.63015957e-05,0.752008331,1.64731445e-15
0.041765625,1.31956833,528.928088,0.808734777,0.0885746373,0.000146291168,2.44364804e-05,0.142808445,0.000195591063,0.0155292214,0.000228901453,5.6793659e-05,0.752435682,1.19951607e-14
0.0417890625,1.35739564,544.425413,0.78619753,0.0873259127,0.000181201118,2.92152823e-05,0.142349068,0.000221931548,0.0167755841,0.000227703005,5.70069809e-05,0.752832377,6.69811383e-15
0.0418125,1.396301,560.356417,0.764291734,0.0860739541,0.000221968585,3.47925552e-05,0.141860774,0.000248836695,0.0180772264,0.000225112921,5.69489451e-05,0.753200386,2.52820793e-15
